datetime,timestamp,open,high,low,close,volume
2023-05-13 09:15:00,1683969300000,5.372,5.38,5.372,5.376,14790.4
2023-05-13 09:30:00,1683970200000,5.376,5.389,5.375,5.38,19864.88
2023-05-13 09:45:00,1683971100000,5.381,5.385,5.379,5.382,11026.47
2023-05-13 10:00:00,1683972000000,5.382,5.396,5.374,5.381,12896.82
2023-05-13 10:15:00,1683972900000,5.381,5.381,5.374,5.377,8166.01
2023-05-13 10:30:00,1683973800000,5.378,5.381,5.373,5.374,7330.29
2023-05-13 10:45:00,1683974700000,5.375,5.382,5.368,5.377,6881.57
2023-05-13 11:00:00,1683975600000,5.378,5.381,5.373,5.375,5585.7
2023-05-13 11:15:00,1683976500000,5.375,5.382,5.372,5.373,10524.93
2023-05-13 11:30:00,1683977400000,5.374,5.374,5.363,5.366,16964.8
2023-05-13 11:45:00,1683978300000,5.365,5.368,5.36,5.368,24929.85
2023-05-13 12:00:00,1683979200000,5.367,5.378,5.367,5.368,19610.37
2023-05-13 12:15:00,1683980100000,5.369,5.38,5.369,5.375,14111.82
2023-05-13 12:30:00,1683981000000,5.373,5.382,5.368,5.37,18917.14
2023-05-13 12:45:00,1683981900000,5.37,5.376,5.353,5.364,13277.2
2023-05-13 13:00:00,1683982800000,5.364,5.382,5.362,5.38,16293.36
2023-05-13 13:15:00,1683983700000,5.381,5.382,5.36,5.36,12068.2
2023-05-13 13:30:00,1683984600000,5.361,5.367,5.342,5.343,25195.95
2023-05-13 13:45:00,1683985500000,5.344,5.356,5.34,5.355,16520.26
2023-05-13 14:00:00,1683986400000,5.355,5.362,5.347,5.355,19519.07
2023-05-13 14:15:00,1683987300000,5.355,5.355,5.313,5.333,54226.84
2023-05-13 14:30:00,1683988200000,5.333,5.356,5.331,5.341,35008.04
2023-05-13 14:45:00,1683989100000,5.342,5.347,5.331,5.337,16793.53
2023-05-13 15:00:00,1683990000000,5.337,5.34,5.328,5.337,10590.41
2023-05-13 15:15:00,1683990900000,5.337,5.343,5.329,5.343,13783.55
2023-05-13 15:30:00,1683991800000,5.342,5.348,5.338,5.342,4545.84
2023-05-13 15:45:00,1683992700000,5.343,5.343,5.333,5.338,10522.86
2023-05-13 16:00:00,1683993600000,5.338,5.338,5.327,5.332,11419.65
2023-05-13 16:15:00,1683994500000,5.332,5.336,5.325,5.328,12741.76
2023-05-13 16:30:00,1683995400000,5.329,5.334,5.319,5.328,15118.46
2023-05-13 16:45:00,1683996300000,5.329,5.336,5.326,5.334,7760.39
2023-05-13 17:00:00,1683997200000,5.334,5.334,5.323,5.328,10548.5
2023-05-13 17:15:00,1683998100000,5.328,5.343,5.328,5.337,6533.49
2023-05-13 17:30:00,1683999000000,5.337,5.339,5.323,5.332,9537.86
2023-05-13 17:45:00,1683999900000,5.331,5.335,5.326,5.334,9306.15
2023-05-13 18:00:00,1684000800000,5.335,5.345,5.327,5.343,9550.82
2023-05-13 18:15:00,1684001700000,5.342,5.351,5.339,5.349,10270.93
2023-05-13 18:30:00,1684002600000,5.348,5.361,5.344,5.354,21628.17
2023-05-13 18:45:00,1684003500000,5.353,5.381,5.324,5.336,70796.38
2023-05-13 19:00:00,1684004400000,5.335,5.35,5.328,5.35,34264.58
2023-05-13 19:15:00,1684005300000,5.347,5.365,5.345,5.355,13956.29
2023-05-13 19:30:00,1684006200000,5.354,5.354,5.339,5.339,13125.69
2023-05-13 19:45:00,1684007100000,5.339,5.348,5.328,5.347,12047.19
2023-05-13 20:00:00,1684008000000,5.347,5.364,5.347,5.348,28487.38
2023-05-13 20:15:00,1684008900000,5.346,5.35,5.34,5.347,12320.53
2023-05-13 20:30:00,1684009800000,5.346,5.346,5.337,5.341,3196.68
2023-05-13 20:45:00,1684010700000,5.34,5.347,5.333,5.345,8384.12
2023-05-13 21:00:00,1684011600000,5.346,5.352,5.338,5.339,11106.11
2023-05-13 21:15:00,1684012500000,5.338,5.352,5.335,5.351,13571.6
2023-05-13 21:30:00,1684013400000,5.349,5.357,5.348,5.352,5891.62
2023-05-13 21:45:00,1684014300000,5.352,5.354,5.348,5.35,6459.51
2023-05-13 22:00:00,1684015200000,5.352,5.357,5.348,5.351,9500.68
2023-05-13 22:15:00,1684016100000,5.351,5.356,5.349,5.354,4265.9
2023-05-13 22:30:00,1684017000000,5.354,5.359,5.352,5.355,2581.72
2023-05-13 22:45:00,1684017900000,5.356,5.366,5.356,5.365,2445.22
2023-05-13 23:00:00,1684018800000,5.365,5.372,5.364,5.371,8136.46
2023-05-13 23:15:00,1684019700000,5.371,5.373,5.361,5.364,6435.17
2023-05-13 23:30:00,1684020600000,5.365,5.366,5.349,5.349,6910.14
2023-05-13 23:45:00,1684021500000,5.348,5.351,5.342,5.346,12690.14
2023-05-14 00:00:00,1684022400000,5.347,5.351,5.333,5.343,23093.25
2023-05-14 00:15:00,1684023300000,5.343,5.361,5.338,5.358,21930.92
2023-05-14 00:30:00,1684024200000,5.36,5.366,5.316,5.331,40640.85
2023-05-14 00:45:00,1684025100000,5.332,5.355,5.325,5.355,25334.06
2023-05-14 01:00:00,1684026000000,5.354,5.358,5.327,5.328,15726.57
2023-05-14 01:15:00,1684026900000,5.328,5.337,5.313,5.337,13776.1
2023-05-14 01:30:00,1684027800000,5.338,5.342,5.321,5.325,4843.66
2023-05-14 01:45:00,1684028700000,5.326,5.332,5.326,5.332,4868.65
2023-05-14 02:00:00,1684029600000,5.331,5.334,5.323,5.334,7022.06
2023-05-14 02:15:00,1684030500000,5.334,5.347,5.334,5.343,14359.93
2023-05-14 02:30:00,1684031400000,5.343,5.346,5.336,5.34,6949.21
2023-05-14 02:45:00,1684032300000,5.342,5.362,5.342,5.359,9654.88
2023-05-14 03:00:00,1684033200000,5.36,5.365,5.357,5.361,6064.69
2023-05-14 03:15:00,1684034100000,5.362,5.373,5.361,5.373,23592.36
2023-05-14 03:30:00,1684035000000,5.373,5.376,5.37,5.375,12490.93
2023-05-14 03:45:00,1684035900000,5.376,5.38,5.373,5.376,8816.26
2023-05-14 04:00:00,1684036800000,5.376,5.382,5.362,5.364,22536.32
2023-05-14 04:15:00,1684037700000,5.364,5.368,5.358,5.36,7924.94
2023-05-14 04:30:00,1684038600000,5.362,5.377,5.362,5.366,5271.51
2023-05-14 04:45:00,1684039500000,5.366,5.373,5.36,5.368,12739.7
2023-05-14 05:00:00,1684040400000,5.368,5.374,5.368,5.372,3778.58
2023-05-14 05:15:00,1684041300000,5.372,5.378,5.367,5.367,6242.78
2023-05-14 05:30:00,1684042200000,5.369,5.372,5.365,5.37,5545.07
2023-05-14 05:45:00,1684043100000,5.372,5.377,5.363,5.368,4004.52
2023-05-14 06:00:00,1684044000000,5.369,5.381,5.368,5.376,12579.43
2023-05-14 06:15:00,1684044900000,5.376,5.386,5.374,5.382,20179.32
2023-05-14 06:30:00,1684045800000,5.382,5.384,5.374,5.375,4385.81
2023-05-14 06:45:00,1684046700000,5.376,5.379,5.369,5.369,5970.36
2023-05-14 07:00:00,1684047600000,5.369,5.383,5.369,5.378,15103.28
2023-05-14 07:15:00,1684048500000,5.377,5.379,5.37,5.373,7427.35
2023-05-14 07:30:00,1684049400000,5.372,5.374,5.37,5.371,5621.28
2023-05-14 07:45:00,1684050300000,5.371,5.374,5.37,5.371,4087.64
2023-05-14 08:00:00,1684051200000,5.372,5.372,5.355,5.356,12244.39
2023-05-14 08:15:00,1684052100000,5.357,5.374,5.357,5.367,10778.9
2023-05-14 08:30:00,1684053000000,5.367,5.371,5.365,5.368,4678.91
2023-05-14 08:45:00,1684053900000,5.367,5.368,5.362,5.365,4986.6
2023-05-14 09:00:00,1684054800000,5.366,5.374,5.365,5.366,5660.32
2023-05-14 09:15:00,1684055700000,5.366,5.367,5.353,5.354,10227.25
2023-05-14 09:30:00,1684056600000,5.353,5.367,5.348,5.366,8548.52
2023-05-14 09:45:00,1684057500000,5.364,5.373,5.364,5.368,6717.84
2023-05-14 10:00:00,1684058400000,5.368,5.369,5.362,5.363,8343.01
2023-05-14 10:15:00,1684059300000,5.364,5.364,5.356,5.361,5996.86
2023-05-14 10:30:00,1684060200000,5.363,5.367,5.362,5.362,7176.61
2023-05-14 10:45:00,1684061100000,5.361,5.369,5.358,5.365,3786.62
2023-05-14 11:00:00,1684062000000,5.365,5.371,5.365,5.367,4377.02
2023-05-14 11:15:00,1684062900000,5.367,5.37,5.363,5.37,4299.77
2023-05-14 11:30:00,1684063800000,5.37,5.372,5.365,5.367,4381.35
2023-05-14 11:45:00,1684064700000,5.366,5.367,5.357,5.364,10314.2
2023-05-14 12:00:00,1684065600000,5.365,5.368,5.356,5.362,6526.82
2023-05-14 12:15:00,1684066500000,5.362,5.362,5.35,5.35,7392.09
2023-05-14 12:30:00,1684067400000,5.35,5.365,5.35,5.364,17803.64
2023-05-14 12:45:00,1684068300000,5.365,5.375,5.363,5.374,9525.37
2023-05-14 13:00:00,1684069200000,5.374,5.379,5.363,5.365,17326.66
2023-05-14 13:15:00,1684070100000,5.365,5.367,5.358,5.363,7474.56
2023-05-14 13:30:00,1684071000000,5.362,5.374,5.36,5.374,5777.27
2023-05-14 13:45:00,1684071900000,5.374,5.381,5.372,5.378,26013.18
2023-05-14 14:00:00,1684072800000,5.378,5.38,5.372,5.375,9206.55
2023-05-14 14:15:00,1684073700000,5.375,5.375,5.366,5.366,7732.8
2023-05-14 14:30:00,1684074600000,5.367,5.377,5.364,5.375,10881.34
2023-05-14 14:45:00,1684075500000,5.374,5.38,5.368,5.378,17070.68
2023-05-14 15:00:00,1684076400000,5.378,5.429,5.378,5.411,104530.33
2023-05-14 15:15:00,1684077300000,5.411,5.448,5.411,5.441,65608.19
2023-05-14 15:30:00,1684078200000,5.44,5.443,5.417,5.426,26442.64
2023-05-14 15:45:00,1684079100000,5.426,5.436,5.417,5.419,28392.46
2023-05-14 16:00:00,1684080000000,5.42,5.436,5.415,5.416,24479.0
2023-05-14 16:15:00,1684080900000,5.416,5.416,5.404,5.407,29045.6
2023-05-14 16:30:00,1684081800000,5.407,5.408,5.389,5.394,28628.58
2023-05-14 16:45:00,1684082700000,5.394,5.398,5.372,5.379,26853.02
2023-05-14 17:00:00,1684083600000,5.379,5.381,5.367,5.372,35633.31
2023-05-14 17:15:00,1684084500000,5.371,5.381,5.37,5.379,11893.08
2023-05-14 17:30:00,1684085400000,5.381,5.386,5.377,5.38,12497.68
2023-05-14 17:45:00,1684086300000,5.38,5.38,5.362,5.368,16002.53
2023-05-14 18:00:00,1684087200000,5.367,5.367,5.358,5.359,21315.45
2023-05-14 18:15:00,1684088100000,5.359,5.36,5.329,5.35,52098.24
2023-05-14 18:30:00,1684089000000,5.349,5.354,5.345,5.349,11854.43
2023-05-14 18:45:00,1684089900000,5.348,5.352,5.341,5.349,9407.67
2023-05-14 19:00:00,1684090800000,5.346,5.348,5.334,5.339,22564.02
2023-05-14 19:15:00,1684091700000,5.338,5.342,5.319,5.328,24207.82
2023-05-14 19:30:00,1684092600000,5.327,5.329,5.316,5.328,12264.17
2023-05-14 19:45:00,1684093500000,5.327,5.334,5.327,5.332,14178.4
2023-05-14 20:00:00,1684094400000,5.331,5.331,5.31,5.322,38263.99
2023-05-14 20:15:00,1684095300000,5.321,5.333,5.32,5.332,5934.87
2023-05-14 20:30:00,1684096200000,5.33,5.342,5.33,5.341,14708.93
2023-05-14 20:45:00,1684097100000,5.341,5.347,5.337,5.346,19405.5
2023-05-14 21:00:00,1684098000000,5.345,5.347,5.337,5.343,15825.12
2023-05-14 21:15:00,1684098900000,5.343,5.348,5.34,5.345,5202.38
2023-05-14 21:30:00,1684099800000,5.345,5.345,5.341,5.343,5250.59
2023-05-14 21:45:00,1684100700000,5.343,5.35,5.342,5.349,7883.74
2023-05-14 22:00:00,1684101600000,5.35,5.354,5.335,5.351,9014.24
2023-05-14 22:15:00,1684102500000,5.351,5.358,5.348,5.352,11883.6
2023-05-14 22:30:00,1684103400000,5.354,5.36,5.353,5.36,3663.94
2023-05-14 22:45:00,1684104300000,5.361,5.371,5.36,5.365,13862.35
2023-05-14 23:00:00,1684105200000,5.365,5.368,5.343,5.347,18949.9
2023-05-14 23:15:00,1684106100000,5.347,5.357,5.345,5.354,11394.97
2023-05-14 23:30:00,1684107000000,5.353,5.362,5.35,5.351,5405.05
2023-05-14 23:45:00,1684107900000,5.353,5.356,5.344,5.347,11990.65
2023-05-15 00:00:00,1684108800000,5.349,5.354,5.339,5.348,18808.09
2023-05-15 00:15:00,1684109700000,5.348,5.348,5.304,5.321,69396.42
2023-05-15 00:30:00,1684110600000,5.321,5.328,5.283,5.293,91813.47
2023-05-15 00:45:00,1684111500000,5.294,5.296,5.267,5.292,67440.26
2023-05-15 01:00:00,1684112400000,5.292,5.303,5.286,5.302,18443.89
2023-05-15 01:15:00,1684113300000,5.303,5.35,5.297,5.344,52897.31
2023-05-15 01:30:00,1684114200000,5.345,5.38,5.343,5.374,46023.06
2023-05-15 01:45:00,1684115100000,5.371,5.405,5.362,5.386,53941.8
2023-05-15 02:00:00,1684116000000,5.387,5.408,5.387,5.395,34312.34
2023-05-15 02:15:00,1684116900000,5.394,5.394,5.376,5.381,27273.27
2023-05-15 02:30:00,1684117800000,5.38,5.39,5.378,5.389,7932.54
2023-05-15 02:45:00,1684118700000,5.389,5.396,5.371,5.371,10648.41
2023-05-15 03:00:00,1684119600000,5.371,5.391,5.371,5.383,7982.19
2023-05-15 03:15:00,1684120500000,5.384,5.389,5.381,5.386,7269.99
2023-05-15 03:30:00,1684121400000,5.386,5.403,5.382,5.386,22344.83
2023-05-15 03:45:00,1684122300000,5.386,5.394,5.386,5.388,9074.15
2023-05-15 04:00:00,1684123200000,5.388,5.405,5.378,5.379,27668.72
2023-05-15 04:15:00,1684124100000,5.379,5.394,5.377,5.393,9800.19
2023-05-15 04:30:00,1684125000000,5.394,5.397,5.391,5.392,9203.79
2023-05-15 04:45:00,1684125900000,5.392,5.394,5.387,5.389,10906.84
2023-05-15 05:00:00,1684126800000,5.391,5.406,5.372,5.377,69663.66
2023-05-15 05:15:00,1684127700000,5.379,5.396,5.379,5.394,26668.82
2023-05-15 05:30:00,1684128600000,5.394,5.397,5.386,5.387,18316.06
2023-05-15 05:45:00,1684129500000,5.386,5.393,5.382,5.392,13751.76
2023-05-15 06:00:00,1684130400000,5.394,5.395,5.385,5.392,14234.69
2023-05-15 06:15:00,1684131300000,5.392,5.422,5.386,5.417,38551.17
2023-05-15 06:30:00,1684132200000,5.418,5.423,5.414,5.416,21388.09
2023-05-15 06:45:00,1684133100000,5.415,5.427,5.41,5.427,33942.2
