datetime,timestamp,open,high,low,close,volume
2024-04-02 08:00:00,1712044800000,0.3,0.84,0.3,0.546,200931470.91
2024-04-02 08:15:00,1712045700000,0.545,0.586,0.522,0.577,54345894.08
2024-04-02 08:30:00,1712046600000,0.579,0.668,0.577,0.638,84059161.88
2024-04-02 08:45:00,1712047500000,0.637,0.665,0.589,0.63,55400328.79
2024-04-02 09:00:00,1712048400000,0.63,0.662,0.619,0.645,37983450.69
2024-04-02 09:15:00,1712049300000,0.645,0.645,0.607,0.619,22180809.78
2024-04-02 09:30:00,1712050200000,0.618,0.646,0.618,0.625,17760843.6
2024-04-02 09:45:00,1712051100000,0.625,0.631,0.596,0.597,17698694.16
2024-04-02 10:00:00,1712052000000,0.597,0.616,0.576,0.582,28302114.56
2024-04-02 10:15:00,1712052900000,0.582,0.6,0.57,0.585,21229991.34
2024-04-02 10:30:00,1712053800000,0.585,0.594,0.56,0.566,15936534.4
2024-04-02 10:45:00,1712054700000,0.567,0.583,0.557,0.579,13709008.69
2024-04-02 11:00:00,1712055600000,0.58,0.614,0.576,0.583,20456718.79
2024-04-02 11:15:00,1712056500000,0.583,0.6,0.57,0.597,11359260.96
2024-04-02 11:30:00,1712057400000,0.596,0.609,0.584,0.602,17011120.72
2024-04-02 11:45:00,1712058300000,0.602,0.626,0.596,0.618,15921951.35
2024-04-02 12:00:00,1712059200000,0.618,0.635,0.603,0.62,15458606.38
2024-04-02 12:15:00,1712060100000,0.619,0.628,0.593,0.604,13053792.5
2024-04-02 12:30:00,1712061000000,0.604,0.619,0.596,0.611,9523277.21
2024-04-02 12:45:00,1712061900000,0.61,0.626,0.61,0.625,8995031.81
2024-04-02 13:00:00,1712062800000,0.625,0.65,0.623,0.645,22494207.87
2024-04-02 13:15:00,1712063700000,0.645,0.656,0.625,0.634,22030306.53
2024-04-02 13:30:00,1712064600000,0.635,0.65,0.623,0.649,13912278.32
2024-04-02 13:45:00,1712065500000,0.65,0.73,0.649,0.705,58754639.34
2024-04-02 14:00:00,1712066400000,0.704,0.778,0.689,0.765,67290522.94
2024-04-02 14:15:00,1712067300000,0.765,0.769,0.722,0.737,35676244.61
2024-04-02 14:30:00,1712068200000,0.736,0.737,0.7,0.728,31968363.84
2024-04-02 14:45:00,1712069100000,0.728,0.728,0.679,0.69,25071375.77
2024-04-02 15:00:00,1712070000000,0.69,0.708,0.668,0.701,22627398.35
2024-04-02 15:15:00,1712070900000,0.702,0.723,0.699,0.72,19353764.04
2024-04-02 15:30:00,1712071800000,0.72,0.736,0.711,0.717,17881122.29
2024-04-02 15:45:00,1712072700000,0.717,0.718,0.678,0.689,18026674.84
2024-04-02 16:00:00,1712073600000,0.689,0.715,0.688,0.703,12948877.92
2024-04-02 16:15:00,1712074500000,0.702,0.725,0.697,0.725,14144674.3
2024-04-02 16:30:00,1712075400000,0.724,0.73,0.711,0.717,9795717.12
2024-04-02 16:45:00,1712076300000,0.717,0.736,0.708,0.731,13392864.68
2024-04-02 17:00:00,1712077200000,0.731,0.773,0.725,0.767,27071675.08
2024-04-02 17:15:00,1712078100000,0.768,0.808,0.756,0.803,29324058.22
2024-04-02 17:30:00,1712079000000,0.802,0.841,0.784,0.828,40780962.49
2024-04-02 17:45:00,1712079900000,0.828,0.829,0.784,0.806,23933992.76
2024-04-02 18:00:00,1712080800000,0.805,0.853,0.805,0.836,28408541.95
2024-04-02 18:15:00,1712081700000,0.837,0.88,0.824,0.874,34821285.54
2024-04-02 18:30:00,1712082600000,0.875,0.913,0.861,0.892,43060674.67
2024-04-02 18:45:00,1712083500000,0.892,0.906,0.834,0.847,28123653.96
2024-04-02 19:00:00,1712084400000,0.847,0.88,0.837,0.838,17262108.83
2024-04-02 19:15:00,1712085300000,0.838,0.84,0.804,0.82,21000864.02
2024-04-02 19:30:00,1712086200000,0.819,0.849,0.815,0.844,12418557.88
2024-04-02 19:45:00,1712087100000,0.844,0.89,0.844,0.872,19479137.59
2024-04-02 20:00:00,1712088000000,0.872,0.874,0.839,0.86,10975668.09
2024-04-02 20:15:00,1712088900000,0.86,0.869,0.83,0.859,10065984.28
2024-04-02 20:30:00,1712089800000,0.859,0.86,0.824,0.836,10220322.17
2024-04-02 20:45:00,1712090700000,0.836,0.848,0.813,0.822,8476711.63
2024-04-02 21:00:00,1712091600000,0.822,0.85,0.821,0.843,7614510.67
2024-04-02 21:15:00,1712092500000,0.844,0.852,0.83,0.84,5113489.43
2024-04-02 21:30:00,1712093400000,0.84,0.844,0.823,0.836,5091226.15
2024-04-02 21:45:00,1712094300000,0.836,0.878,0.835,0.861,9464405.64
2024-04-02 22:00:00,1712095200000,0.86,0.873,0.847,0.862,7086942.74
2024-04-02 22:15:00,1712096100000,0.863,0.87,0.825,0.826,8466049.91
2024-04-02 22:30:00,1712097000000,0.825,0.856,0.822,0.849,9064949.48
2024-04-02 22:45:00,1712097900000,0.848,0.853,0.832,0.847,3490434.08
2024-04-02 23:00:00,1712098800000,0.846,0.85,0.826,0.833,4030790.15
2024-04-02 23:15:00,1712099700000,0.833,0.839,0.768,0.775,21384271.81
2024-04-02 23:30:00,1712100600000,0.776,0.795,0.752,0.764,11042800.64
2024-04-02 23:45:00,1712101500000,0.764,0.79,0.762,0.775,6750746.54
2024-04-03 00:00:00,1712102400000,0.775,0.788,0.709,0.719,19593999.79
2024-04-03 00:15:00,1712103300000,0.718,0.743,0.703,0.735,15138785.69
2024-04-03 00:30:00,1712104200000,0.734,0.767,0.72,0.765,13086779.44
2024-04-03 00:45:00,1712105100000,0.765,0.78,0.737,0.78,8458774.71
2024-04-03 01:00:00,1712106000000,0.78,0.83,0.776,0.802,19722725.78
2024-04-03 01:15:00,1712106900000,0.804,0.807,0.764,0.796,14525153.45
2024-04-03 01:30:00,1712107800000,0.796,0.845,0.775,0.841,16841978.17
2024-04-03 01:45:00,1712108700000,0.842,0.872,0.832,0.847,25023807.29
2024-04-03 02:00:00,1712109600000,0.847,0.857,0.82,0.822,12417722.33
2024-04-03 02:15:00,1712110500000,0.822,0.85,0.82,0.842,6152229.2
2024-04-03 02:30:00,1712111400000,0.841,0.844,0.808,0.827,8894838.87
2024-04-03 02:45:00,1712112300000,0.828,0.843,0.8,0.838,8737859.05
2024-04-03 03:00:00,1712113200000,0.838,0.848,0.82,0.838,6618613.98
2024-04-03 03:15:00,1712114100000,0.837,0.85,0.828,0.838,5149532.51
2024-04-03 03:30:00,1712115000000,0.838,0.892,0.837,0.87,15465324.14
2024-04-03 03:45:00,1712115900000,0.871,0.887,0.862,0.871,9228426.54
2024-04-03 04:00:00,1712116800000,0.871,0.875,0.845,0.848,6992058.56
2024-04-03 04:15:00,1712117700000,0.848,0.86,0.827,0.832,8210186.7
2024-04-03 04:30:00,1712118600000,0.832,0.847,0.823,0.836,5136104.14
2024-04-03 04:45:00,1712119500000,0.836,0.842,0.83,0.831,2904351.42
2024-04-03 05:00:00,1712120400000,0.83,0.832,0.785,0.81,15341623.05
2024-04-03 05:15:00,1712121300000,0.81,0.822,0.795,0.81,5452832.82
2024-04-03 05:30:00,1712122200000,0.809,0.817,0.788,0.805,8716103.87
2024-04-03 05:45:00,1712123100000,0.804,0.825,0.802,0.823,5617406.88
2024-04-03 06:00:00,1712124000000,0.822,0.841,0.815,0.836,5985217.22
2024-04-03 06:15:00,1712124900000,0.836,0.85,0.833,0.843,6882907.23
2024-04-03 06:30:00,1712125800000,0.843,0.852,0.826,0.85,5301112.14
2024-04-03 06:45:00,1712126700000,0.85,0.865,0.843,0.856,7553691.42
2024-04-03 07:00:00,1712127600000,0.856,0.856,0.829,0.845,5543748.5
2024-04-03 07:15:00,1712128500000,0.844,0.845,0.822,0.835,5767594.62
2024-04-03 07:30:00,1712129400000,0.835,0.874,0.827,0.87,9025247.46
2024-04-03 07:45:00,1712130300000,0.869,0.925,0.854,0.919,23332535.34
2024-04-03 08:00:00,1712131200000,0.918,0.94,0.886,0.908,28780656.0
2024-04-03 08:15:00,1712132100000,0.907,0.91,0.874,0.881,12020114.83
2024-04-03 08:30:00,1712133000000,0.881,0.903,0.865,0.896,14242972.9
2024-04-03 08:45:00,1712133900000,0.896,0.944,0.887,0.94,23222346.7
2024-04-03 09:00:00,1712134800000,0.94,0.966,0.92,0.959,22028964.87
2024-04-03 09:15:00,1712135700000,0.96,0.964,0.926,0.939,16657305.52
2024-04-03 09:30:00,1712136600000,0.94,0.956,0.917,0.924,15519209.99
2024-04-03 09:45:00,1712137500000,0.925,0.939,0.92,0.926,7712687.31
2024-04-03 10:00:00,1712138400000,0.926,0.949,0.906,0.944,13102050.42
2024-04-03 10:15:00,1712139300000,0.943,0.944,0.92,0.926,7232949.37
2024-04-03 10:30:00,1712140200000,0.925,0.927,0.9,0.922,11009230.84
2024-04-03 10:45:00,1712141100000,0.922,0.938,0.909,0.925,8040113.11
2024-04-03 11:00:00,1712142000000,0.925,0.932,0.902,0.913,7312804.06
2024-04-03 11:15:00,1712142900000,0.913,0.931,0.906,0.927,6669848.05
2024-04-03 11:30:00,1712143800000,0.927,0.946,0.924,0.932,10156158.44
2024-04-03 11:45:00,1712144700000,0.933,0.933,0.892,0.902,15278180.48
2024-04-03 12:00:00,1712145600000,0.902,0.905,0.876,0.893,17958032.18
