datetime,open,high,low,close
2023-05-16 15:00:00,0.3665,0.3675,0.3664,0.3664
2023-05-16 15:15:00,0.3665,0.3677,0.3662,0.3674
2023-05-16 15:30:00,0.3674,0.3676,0.367,0.3671
2023-05-16 15:45:00,0.3671,0.3678,0.367,0.3673
2023-05-16 16:00:00,0.3673,0.3676,0.3669,0.367
2023-05-16 16:15:00,0.367,0.367,0.3655,0.3656
2023-05-16 16:30:00,0.3656,0.3671,0.3656,0.3667
2023-05-16 16:45:00,0.3668,0.3677,0.3657,0.3672
2023-05-16 17:00:00,0.3672,0.3678,0.366,0.3665
2023-05-16 17:15:00,0.3664,0.3666,0.3658,0.3661
2023-05-16 17:30:00,0.366,0.3677,0.366,0.3675
2023-05-16 17:45:00,0.3674,0.3678,0.3669,0.3676
2023-05-16 18:00:00,0.3676,0.368,0.3668,0.3668
2023-05-16 18:15:00,0.3669,0.3669,0.3663,0.3664
2023-05-16 18:30:00,0.3664,0.3668,0.3663,0.3664
2023-05-16 18:45:00,0.3664,0.3669,0.3663,0.3668
2023-05-16 19:00:00,0.3668,0.3673,0.3664,0.3666
2023-05-16 19:15:00,0.3666,0.3667,0.3661,0.3664
2023-05-16 19:30:00,0.3664,0.3666,0.3656,0.3657
2023-05-16 19:45:00,0.3657,0.3658,0.3644,0.3649
2023-05-16 20:00:00,0.365,0.3655,0.3643,0.3653
2023-05-16 20:15:00,0.3652,0.3655,0.3645,0.3649
2023-05-16 20:30:00,0.3648,0.3655,0.3648,0.365
2023-05-16 20:45:00,0.3651,0.3655,0.3648,0.3649
2023-05-16 21:00:00,0.365,0.3656,0.3644,0.3654
2023-05-16 21:15:00,0.3655,0.3658,0.3654,0.3658
2023-05-16 21:30:00,0.3656,0.3667,0.3655,0.3667
2023-05-16 21:45:00,0.3667,0.3675,0.3664,0.3671
2023-05-16 22:00:00,0.3672,0.3678,0.367,0.3676
2023-05-16 22:15:00,0.3676,0.3677,0.3671,0.3673
2023-05-16 22:30:00,0.3673,0.3678,0.3671,0.3672
2023-05-16 22:45:00,0.3669,0.3674,0.3669,0.3671
2023-05-16 23:00:00,0.3671,0.3672,0.3662,0.3667
2023-05-16 23:15:00,0.3667,0.3676,0.3667,0.3671
2023-05-16 23:30:00,0.3671,0.3684,0.367,0.3677
2023-05-16 23:45:00,0.3676,0.3683,0.3675,0.3682
2023-05-17 00:00:00,0.3682,0.3687,0.3673,0.368
2023-05-17 00:15:00,0.3681,0.3682,0.3664,0.3667
2023-05-17 00:30:00,0.3666,0.3682,0.3664,0.3675
2023-05-17 00:45:00,0.3675,0.3689,0.3669,0.3683
2023-05-17 01:00:00,0.3683,0.371,0.3683,0.3709
2023-05-17 01:15:00,0.3709,0.3719,0.3699,0.3719
2023-05-17 01:30:00,0.3718,0.3766,0.3713,0.3763
2023-05-17 01:45:00,0.3764,0.3773,0.3753,0.3754
2023-05-17 02:00:00,0.3753,0.3768,0.3753,0.3766
2023-05-17 02:15:00,0.3765,0.3768,0.3747,0.3747
2023-05-17 02:30:00,0.3747,0.3748,0.3733,0.3735
2023-05-17 02:45:00,0.3735,0.3736,0.3722,0.3726
2023-05-17 03:00:00,0.3724,0.3731,0.3723,0.3729
2023-05-17 03:15:00,0.373,0.3735,0.3719,0.3725
2023-05-17 03:30:00,0.3725,0.3738,0.3723,0.3738
2023-05-17 03:45:00,0.3736,0.3736,0.3729,0.3729
2023-05-17 04:00:00,0.3729,0.3736,0.3729,0.3735
2023-05-17 04:15:00,0.3736,0.374,0.3734,0.3739
2023-05-17 04:30:00,0.3739,0.374,0.3733,0.3737
2023-05-17 04:45:00,0.3737,0.3738,0.3731,0.3732
2023-05-17 05:00:00,0.3731,0.3732,0.3716,0.3717
2023-05-17 05:15:00,0.3717,0.3722,0.3712,0.3721
2023-05-17 05:30:00,0.372,0.3721,0.3703,0.3708
2023-05-17 05:45:00,0.3707,0.3709,0.3697,0.3698
2023-05-17 06:00:00,0.3698,0.3699,0.3684,0.3688
2023-05-17 06:15:00,0.3689,0.3696,0.3687,0.3695
2023-05-17 06:30:00,0.3695,0.3696,0.369,0.3695
2023-05-17 06:45:00,0.3694,0.3695,0.3685,0.3686
2023-05-17 07:00:00,0.3686,0.3697,0.3682,0.3695
2023-05-17 07:15:00,0.3695,0.3697,0.3686,0.3693
2023-05-17 07:30:00,0.3692,0.3693,0.3681,0.3682
2023-05-17 07:45:00,0.3682,0.3683,0.3661,0.3666
2023-05-17 08:00:00,0.3665,0.3666,0.3646,0.3653
2023-05-17 08:15:00,0.3654,0.3658,0.365,0.3656
2023-05-17 08:30:00,0.3655,0.3668,0.3651,0.3666
2023-05-17 08:45:00,0.3666,0.3668,0.3658,0.3661
2023-05-17 09:00:00,0.3661,0.3667,0.3658,0.366
2023-05-17 09:15:00,0.3659,0.367,0.3658,0.3664
2023-05-17 09:30:00,0.3664,0.3676,0.3663,0.3672
2023-05-17 09:45:00,0.3672,0.3674,0.3668,0.3674
2023-05-17 10:00:00,0.3674,0.3675,0.3662,0.3664
2023-05-17 10:15:00,0.3663,0.3677,0.3663,0.3673
2023-05-17 10:30:00,0.3673,0.3677,0.367,0.3672
2023-05-17 10:45:00,0.3672,0.3674,0.3663,0.367
2023-05-17 11:00:00,0.367,0.367,0.366,0.3667
2023-05-17 11:15:00,0.3667,0.3667,0.3646,0.366
2023-05-17 11:30:00,0.366,0.3665,0.3647,0.3649
2023-05-17 11:45:00,0.3648,0.3656,0.3648,0.3651
2023-05-17 12:00:00,0.3651,0.3671,0.3648,0.367
2023-05-17 12:15:00,0.3671,0.3673,0.3658,0.3659
2023-05-17 12:30:00,0.3658,0.3663,0.3655,0.3663
2023-05-17 12:45:00,0.3663,0.3675,0.3663,0.3675
2023-05-17 13:00:00,0.3674,0.3679,0.3667,0.3678
2023-05-17 13:15:00,0.3678,0.368,0.3676,0.3678
2023-05-17 13:30:00,0.3677,0.3686,0.3676,0.3683
2023-05-17 13:45:00,0.3684,0.3684,0.3667,0.3669
2023-05-17 14:00:00,0.3669,0.3673,0.3661,0.367
2023-05-17 14:15:00,0.367,0.3678,0.3669,0.367
2023-05-17 14:30:00,0.3669,0.3678,0.3647,0.3676
2023-05-17 14:45:00,0.3677,0.3685,0.3669,0.3678
2023-05-17 15:00:00,0.3677,0.3685,0.3671,0.368
2023-05-17 15:15:00,0.368,0.3682,0.3662,0.3668
2023-05-17 15:30:00,0.3668,0.3672,0.366,0.3663
2023-05-17 15:45:00,0.3663,0.367,0.3659,0.3669
2023-05-17 16:00:00,0.3668,0.3676,0.3659,0.3666
2023-05-17 16:15:00,0.3666,0.3681,0.3662,0.3675
2023-05-17 16:30:00,0.3675,0.3687,0.3675,0.368
2023-05-17 16:45:00,0.368,0.3691,0.3679,0.3689
2023-05-17 17:00:00,0.369,0.3696,0.3686,0.3695
2023-05-17 17:15:00,0.3696,0.3702,0.3689,0.3702
2023-05-17 17:30:00,0.3701,0.3714,0.3698,0.3711
2023-05-17 17:45:00,0.3711,0.3733,0.371,0.3728
2023-05-17 18:00:00,0.3728,0.3746,0.3728,0.3738
2023-05-17 18:15:00,0.3738,0.3746,0.3734,0.3744
2023-05-17 18:30:00,0.3744,0.3747,0.3736,0.3737
2023-05-17 18:45:00,0.3737,0.3747,0.3736,0.3745
2023-05-17 19:00:00,0.3745,0.3783,0.3744,0.3781
2023-05-17 19:15:00,0.3783,0.3804,0.3783,0.3794
2023-05-17 19:30:00,0.3795,0.3799,0.378,0.3786
2023-05-17 19:45:00,0.3785,0.379,0.3779,0.378
2023-05-17 20:00:00,0.3778,0.379,0.3776,0.3779
2023-05-17 20:15:00,0.3777,0.3782,0.3754,0.3762
2023-05-17 20:30:00,0.3761,0.3774,0.3761,0.3769
2023-05-17 20:45:00,0.377,0.377,0.3759,0.376
2023-05-17 21:00:00,0.3759,0.3764,0.375,0.3753
2023-05-17 21:15:00,0.3752,0.3765,0.3752,0.3757
2023-05-17 21:30:00,0.3758,0.3763,0.3754,0.3755
2023-05-17 21:45:00,0.3755,0.3757,0.3749,0.375
2023-05-17 22:00:00,0.3749,0.3755,0.3746,0.3749
2023-05-17 22:15:00,0.3751,0.3752,0.3744,0.3744
2023-05-17 22:30:00,0.3746,0.375,0.3743,0.375
2023-05-17 22:45:00,0.3749,0.3753,0.3747,0.375
2023-05-17 23:00:00,0.375,0.3756,0.3749,0.3755
2023-05-17 23:15:00,0.3756,0.3757,0.3752,0.3756
2023-05-17 23:30:00,0.3756,0.3758,0.3746,0.3747
2023-05-17 23:45:00,0.3747,0.3756,0.3747,0.3756
2023-05-18 00:00:00,0.3757,0.3759,0.374,0.3743
2023-05-18 00:15:00,0.3745,0.3756,0.374,0.3747
2023-05-18 00:30:00,0.3748,0.375,0.3738,0.3739
2023-05-18 00:45:00,0.3738,0.3745,0.3738,0.3744
2023-05-18 01:00:00,0.3744,0.3756,0.3744,0.3753
2023-05-18 01:15:00,0.3753,0.3753,0.3743,0.3744
2023-05-18 01:30:00,0.3743,0.3754,0.3741,0.3743
2023-05-18 01:45:00,0.3744,0.3748,0.3739,0.3746
2023-05-18 02:00:00,0.3746,0.3751,0.3739,0.3742
2023-05-18 02:15:00,0.3742,0.3753,0.3742,0.3751
2023-05-18 02:30:00,0.375,0.3755,0.3746,0.3754
2023-05-18 02:45:00,0.3754,0.3757,0.3749,0.3755
2023-05-18 03:00:00,0.3754,0.3777,0.3753,0.3776
2023-05-18 03:15:00,0.3775,0.3791,0.3774,0.3789
2023-05-18 03:30:00,0.3789,0.379,0.3772,0.3774
2023-05-18 03:45:00,0.3775,0.3779,0.3768,0.3771
2023-05-18 04:00:00,0.377,0.3775,0.3765,0.3771
2023-05-18 04:15:00,0.3771,0.3773,0.3764,0.3768
2023-05-18 04:30:00,0.3769,0.3775,0.3768,0.3773
2023-05-18 04:45:00,0.3773,0.3777,0.377,0.3775
2023-05-18 05:00:00,0.3776,0.3784,0.3767,0.3784
2023-05-18 05:15:00,0.3783,0.3789,0.377,0.3782
2023-05-18 05:30:00,0.3781,0.3787,0.3781,0.3787
2023-05-18 05:45:00,0.3787,0.379,0.3773,0.3779
2023-05-18 06:00:00,0.378,0.3786,0.3772,0.3774
2023-05-18 06:15:00,0.3774,0.3787,0.3755,0.3759
2023-05-18 06:30:00,0.3759,0.3768,0.3758,0.3765
2023-05-18 06:45:00,0.3764,0.3765,0.3754,0.3755
2023-05-18 07:00:00,0.3754,0.3762,0.3752,0.3753
2023-05-18 07:15:00,0.3755,0.3763,0.3751,0.3756
2023-05-18 07:30:00,0.3756,0.3779,0.3753,0.3777
2023-05-18 07:45:00,0.3777,0.3783,0.3771,0.3778
2023-05-18 08:00:00,0.3779,0.3786,0.3766,0.3783
2023-05-18 08:15:00,0.3784,0.3787,0.3777,0.3779
2023-05-18 08:30:00,0.3779,0.3782,0.3769,0.3777
2023-05-18 08:45:00,0.3777,0.3778,0.377,0.3771
2023-05-18 09:00:00,0.377,0.3773,0.3765,0.3767
2023-05-18 09:15:00,0.3765,0.377,0.3763,0.3765
2023-05-18 09:30:00,0.3763,0.3767,0.3759,0.376
2023-05-18 09:45:00,0.3761,0.3764,0.3749,0.3757
2023-05-18 10:00:00,0.3758,0.3771,0.3756,0.377
2023-05-18 10:15:00,0.3768,0.3804,0.3768,0.38
2023-05-18 10:30:00,0.3799,0.38,0.3777,0.3791
2023-05-18 10:45:00,0.3791,0.3796,0.3784,0.3785
2023-05-18 11:00:00,0.3784,0.3802,0.3783,0.38
2023-05-18 11:15:00,0.38,0.38,0.3787,0.3788
2023-05-18 11:30:00,0.3789,0.3789,0.3778,0.3787
2023-05-18 11:45:00,0.3787,0.3794,0.3784,0.3792
2023-05-18 12:00:00,0.3792,0.3792,0.3779,0.3788
2023-05-18 12:15:00,0.3788,0.379,0.377,0.377
2023-05-18 12:30:00,0.3769,0.3775,0.3762,0.3766
2023-05-18 12:45:00,0.3766,0.3773,0.3763,0.3767
2023-05-18 13:00:00,0.3768,0.3769,0.3754,0.3758
2023-05-18 13:15:00,0.3758,0.377,0.3755,0.3757
2023-05-18 13:30:00,0.3757,0.3775,0.3755,0.377
2023-05-18 13:45:00,0.3771,0.3773,0.3766,0.3771
2023-05-18 14:00:00,0.3772,0.3773,0.3752,0.376
2023-05-18 14:15:00,0.3759,0.3771,0.3756,0.3767
2023-05-18 14:30:00,0.3767,0.3777,0.3752,0.3753
2023-05-18 14:45:00,0.3752,0.3759,0.3734,0.3751
2023-05-18 15:00:00,0.3751,0.3761,0.3742,0.3745
2023-05-18 15:15:00,0.3746,0.375,0.3732,0.3736
2023-05-18 15:30:00,0.3737,0.3741,0.3729,0.3739
2023-05-18 15:45:00,0.3739,0.3744,0.3732,0.3737
2023-05-18 16:00:00,0.3739,0.3745,0.3729,0.3736
2023-05-18 16:15:00,0.3735,0.3741,0.3728,0.3741
2023-05-18 16:30:00,0.3741,0.3755,0.3734,0.3753
2023-05-18 16:45:00,0.3755,0.3756,0.3746,0.3747
2023-05-18 17:00:00,0.3746,0.3754,0.3746,0.3752
2023-05-18 17:15:00,0.3753,0.3757,0.3749,0.3756
2023-05-18 17:30:00,0.3757,0.3757,0.3708,0.3723
2023-05-18 17:45:00,0.3723,0.3723,0.3662,0.3677
2023-05-18 18:00:00,0.3678,0.3683,0.3663,0.367
2023-05-18 18:15:00,0.3669,0.3683,0.3656,0.3677
2023-05-18 18:30:00,0.3677,0.3688,0.367,0.3683
2023-05-18 18:45:00,0.3684,0.3686,0.3678,0.3683
2023-05-18 19:00:00,0.3683,0.369,0.3676,0.3689
2023-05-18 19:15:00,0.3689,0.3695,0.3685,0.3689
2023-05-18 19:30:00,0.3689,0.3719,0.3687,0.3717
2023-05-18 19:45:00,0.3719,0.3727,0.3706,0.371
2023-05-18 20:00:00,0.3708,0.3712,0.3698,0.3705
2023-05-18 20:15:00,0.3706,0.3712,0.3704,0.3709
2023-05-18 20:30:00,0.3708,0.372,0.3708,0.3713
2023-05-18 20:45:00,0.3714,0.3715,0.371,0.3711
2023-05-18 21:00:00,0.3711,0.3719,0.371,0.3719
2023-05-18 21:15:00,0.3718,0.3734,0.3718,0.373
2023-05-18 21:30:00,0.373,0.3753,0.373,0.3747
2023-05-18 21:45:00,0.3746,0.3758,0.3744,0.3744
2023-05-18 22:00:00,0.3745,0.3755,0.3737,0.3754
2023-05-18 22:15:00,0.3755,0.3757,0.3748,0.3753
2023-05-18 22:30:00,0.3753,0.3757,0.3748,0.3749
2023-05-18 22:45:00,0.375,0.3754,0.3746,0.3748
2023-05-18 23:00:00,0.3747,0.3748,0.3735,0.3736
2023-05-18 23:15:00,0.3735,0.3739,0.3733,0.3734
2023-05-18 23:30:00,0.3733,0.3735,0.3726,0.3728
2023-05-18 23:45:00,0.3727,0.3732,0.3713,0.3715
2023-05-19 00:00:00,0.3715,0.3727,0.3714,0.3725
2023-05-19 00:15:00,0.3725,0.3728,0.3719,0.3719
2023-05-19 00:30:00,0.372,0.3725,0.3713,0.3715
2023-05-19 00:45:00,0.3716,0.3728,0.3709,0.3724
2023-05-19 01:00:00,0.3724,0.3727,0.3719,0.3722
2023-05-19 01:15:00,0.3722,0.3722,0.3709,0.3715
2023-05-19 01:30:00,0.3715,0.3719,0.371,0.3714
2023-05-19 01:45:00,0.3714,0.3718,0.3704,0.371
2023-05-19 02:00:00,0.3709,0.3709,0.368,0.3681
2023-05-19 02:15:00,0.368,0.369,0.3668,0.3671
2023-05-19 02:30:00,0.367,0.3676,0.3662,0.367
2023-05-19 02:45:00,0.367,0.3683,0.3665,0.3681
2023-05-19 03:00:00,0.368,0.3685,0.3676,0.3684
2023-05-19 03:15:00,0.3684,0.3698,0.3684,0.3698
2023-05-19 03:30:00,0.3698,0.3703,0.3697,0.3701
2023-05-19 03:45:00,0.37,0.37,0.3691,0.3693
2023-05-19 04:00:00,0.3693,0.3693,0.3685,0.3686
2023-05-19 04:15:00,0.3686,0.3693,0.3685,0.369
2023-05-19 04:30:00,0.3691,0.37,0.369,0.3699
2023-05-19 04:45:00,0.37,0.3711,0.3698,0.3711
2023-05-19 05:00:00,0.371,0.3713,0.3704,0.3706
2023-05-19 05:15:00,0.3706,0.3711,0.3705,0.3707
2023-05-19 05:30:00,0.3706,0.3715,0.3705,0.3711
2023-05-19 05:45:00,0.371,0.3714,0.3707,0.3709
2023-05-19 06:00:00,0.3708,0.3717,0.3708,0.3709
2023-05-19 06:15:00,0.3709,0.3712,0.3705,0.3708
2023-05-19 06:30:00,0.3708,0.3713,0.3708,0.3709
2023-05-19 06:45:00,0.3709,0.3714,0.3708,0.3709
2023-05-19 07:00:00,0.3709,0.3715,0.3706,0.3715
2023-05-19 07:15:00,0.3714,0.3715,0.3704,0.3704
2023-05-19 07:30:00,0.3704,0.3706,0.3692,0.3695
2023-05-19 07:45:00,0.3694,0.37,0.3694,0.3697
2023-05-19 08:00:00,0.3697,0.3705,0.3694,0.3705
2023-05-19 08:15:00,0.3705,0.3708,0.3704,0.3707
2023-05-19 08:30:00,0.3708,0.3714,0.3707,0.3711
2023-05-19 08:45:00,0.371,0.3712,0.3699,0.3699
2023-05-19 09:00:00,0.37,0.3705,0.37,0.3701
2023-05-19 09:15:00,0.3702,0.3704,0.3693,0.3695
2023-05-19 09:30:00,0.3695,0.3699,0.3695,0.3697
2023-05-19 09:45:00,0.3697,0.3702,0.3697,0.37
2023-05-19 10:00:00,0.37,0.37,0.3694,0.3696
2023-05-19 10:15:00,0.3696,0.37,0.3691,0.3697
2023-05-19 10:30:00,0.3696,0.3698,0.3693,0.3695
2023-05-19 10:45:00,0.3694,0.3696,0.3688,0.3691
2023-05-19 11:00:00,0.3691,0.3696,0.3684,0.3684
2023-05-19 11:15:00,0.3686,0.3693,0.3684,0.3688
2023-05-19 11:30:00,0.3688,0.3691,0.3682,0.3687
2023-05-19 11:45:00,0.3688,0.369,0.3684,0.3686
2023-05-19 12:00:00,0.3686,0.3712,0.3686,0.3711
2023-05-19 12:15:00,0.371,0.3714,0.3703,0.3703
2023-05-19 12:30:00,0.3704,0.3706,0.37,0.3706
2023-05-19 12:45:00,0.3705,0.3706,0.37,0.3703
2023-05-19 13:00:00,0.3703,0.3706,0.37,0.3702
2023-05-19 13:15:00,0.3702,0.3705,0.3697,0.3704
2023-05-19 13:30:00,0.3704,0.3705,0.37,0.37
2023-05-19 13:45:00,0.3701,0.3702,0.3691,0.3695
2023-05-19 14:00:00,0.3694,0.3696,0.3682,0.3684
