datetime,open,high,low,close
2023-05-16 15:00:00,5.277,5.286,5.269,5.271
2023-05-16 15:15:00,5.269,5.282,5.266,5.28
2023-05-16 15:30:00,5.28,5.281,5.269,5.27
2023-05-16 15:45:00,5.271,5.283,5.27,5.278
2023-05-16 16:00:00,5.279,5.288,5.277,5.284
2023-05-16 16:15:00,5.285,5.285,5.269,5.269
2023-05-16 16:30:00,5.27,5.292,5.269,5.288
2023-05-16 16:45:00,5.287,5.304,5.276,5.296
2023-05-16 17:00:00,5.297,5.301,5.279,5.283
2023-05-16 17:15:00,5.282,5.283,5.271,5.274
2023-05-16 17:30:00,5.273,5.297,5.273,5.294
2023-05-16 17:45:00,5.294,5.3,5.286,5.296
2023-05-16 18:00:00,5.296,5.305,5.286,5.288
2023-05-16 18:15:00,5.289,5.292,5.283,5.288
2023-05-16 18:30:00,5.288,5.294,5.285,5.285
2023-05-16 18:45:00,5.285,5.292,5.285,5.29
2023-05-16 19:00:00,5.289,5.295,5.285,5.286
2023-05-16 19:15:00,5.287,5.289,5.28,5.28
2023-05-16 19:30:00,5.28,5.282,5.272,5.274
2023-05-16 19:45:00,5.275,5.276,5.256,5.261
2023-05-16 20:00:00,5.261,5.263,5.244,5.262
2023-05-16 20:15:00,5.263,5.269,5.262,5.268
2023-05-16 20:30:00,5.267,5.275,5.266,5.268
2023-05-16 20:45:00,5.268,5.275,5.265,5.267
2023-05-16 21:00:00,5.267,5.283,5.264,5.283
2023-05-16 21:15:00,5.282,5.291,5.282,5.289
2023-05-16 21:30:00,5.289,5.301,5.284,5.3
2023-05-16 21:45:00,5.3,5.302,5.293,5.297
2023-05-16 22:00:00,5.297,5.305,5.297,5.304
2023-05-16 22:15:00,5.303,5.305,5.29,5.293
2023-05-16 22:30:00,5.292,5.298,5.288,5.291
2023-05-16 22:45:00,5.292,5.297,5.291,5.293
2023-05-16 23:00:00,5.293,5.293,5.28,5.287
2023-05-16 23:15:00,5.287,5.297,5.286,5.293
2023-05-16 23:30:00,5.294,5.304,5.293,5.301
2023-05-16 23:45:00,5.301,5.307,5.295,5.295
2023-05-17 00:00:00,5.295,5.308,5.294,5.305
2023-05-17 00:15:00,5.306,5.306,5.281,5.284
2023-05-17 00:30:00,5.285,5.307,5.277,5.297
2023-05-17 00:45:00,5.297,5.323,5.291,5.317
2023-05-17 01:00:00,5.316,5.334,5.315,5.319
2023-05-17 01:15:00,5.319,5.329,5.314,5.328
2023-05-17 01:30:00,5.328,5.353,5.327,5.343
2023-05-17 01:45:00,5.342,5.359,5.342,5.35
2023-05-17 02:00:00,5.35,5.354,5.341,5.343
2023-05-17 02:15:00,5.344,5.352,5.338,5.346
2023-05-17 02:30:00,5.346,5.348,5.335,5.341
2023-05-17 02:45:00,5.342,5.342,5.328,5.33
2023-05-17 03:00:00,5.331,5.336,5.328,5.335
2023-05-17 03:15:00,5.334,5.345,5.334,5.339
2023-05-17 03:30:00,5.339,5.351,5.338,5.35
2023-05-17 03:45:00,5.35,5.352,5.344,5.345
2023-05-17 04:00:00,5.344,5.358,5.344,5.356
2023-05-17 04:15:00,5.355,5.358,5.353,5.355
2023-05-17 04:30:00,5.356,5.363,5.353,5.363
2023-05-17 04:45:00,5.363,5.376,5.358,5.358
2023-05-17 05:00:00,5.359,5.359,5.344,5.345
2023-05-17 05:15:00,5.345,5.347,5.337,5.341
2023-05-17 05:30:00,5.341,5.342,5.32,5.327
2023-05-17 05:45:00,5.326,5.327,5.316,5.316
2023-05-17 06:00:00,5.316,5.317,5.291,5.311
2023-05-17 06:15:00,5.311,5.323,5.308,5.318
2023-05-17 06:30:00,5.318,5.321,5.313,5.318
2023-05-17 06:45:00,5.319,5.328,5.313,5.321
2023-05-17 07:00:00,5.322,5.343,5.32,5.342
2023-05-17 07:15:00,5.341,5.342,5.315,5.327
2023-05-17 07:30:00,5.326,5.327,5.307,5.31
2023-05-17 07:45:00,5.309,5.31,5.28,5.298
2023-05-17 08:00:00,5.299,5.299,5.268,5.279
2023-05-17 08:15:00,5.28,5.285,5.264,5.282
2023-05-17 08:30:00,5.282,5.292,5.276,5.292
2023-05-17 08:45:00,5.292,5.296,5.283,5.286
2023-05-17 09:00:00,5.285,5.307,5.278,5.303
2023-05-17 09:15:00,5.303,5.314,5.301,5.305
2023-05-17 09:30:00,5.305,5.314,5.305,5.314
2023-05-17 09:45:00,5.314,5.315,5.303,5.315
2023-05-17 10:00:00,5.314,5.315,5.293,5.299
2023-05-17 10:15:00,5.299,5.309,5.297,5.308
2023-05-17 10:30:00,5.309,5.311,5.3,5.301
2023-05-17 10:45:00,5.301,5.302,5.293,5.299
2023-05-17 11:00:00,5.299,5.301,5.289,5.296
2023-05-17 11:15:00,5.297,5.298,5.268,5.279
2023-05-17 11:30:00,5.279,5.282,5.253,5.253
2023-05-17 11:45:00,5.254,5.265,5.244,5.252
2023-05-17 12:00:00,5.251,5.272,5.242,5.266
2023-05-17 12:15:00,5.267,5.274,5.262,5.265
2023-05-17 12:30:00,5.265,5.269,5.257,5.258
2023-05-17 12:45:00,5.259,5.269,5.258,5.268
2023-05-17 13:00:00,5.267,5.271,5.258,5.267
2023-05-17 13:15:00,5.267,5.271,5.266,5.268
2023-05-17 13:30:00,5.268,5.283,5.264,5.272
2023-05-17 13:45:00,5.271,5.273,5.248,5.249
2023-05-17 14:00:00,5.249,5.259,5.24,5.254
2023-05-17 14:15:00,5.254,5.267,5.254,5.255
2023-05-17 14:30:00,5.255,5.269,5.221,5.268
2023-05-17 14:45:00,5.266,5.272,5.242,5.243
2023-05-17 15:00:00,5.244,5.262,5.241,5.261
2023-05-17 15:15:00,5.261,5.266,5.239,5.258
2023-05-17 15:30:00,5.259,5.269,5.249,5.249
2023-05-17 15:45:00,5.25,5.262,5.248,5.258
2023-05-17 16:00:00,5.259,5.262,5.245,5.246
2023-05-17 16:15:00,5.247,5.257,5.24,5.25
2023-05-17 16:30:00,5.251,5.268,5.25,5.264
2023-05-17 16:45:00,5.264,5.277,5.263,5.273
2023-05-17 17:00:00,5.271,5.275,5.265,5.274
2023-05-17 17:15:00,5.273,5.276,5.266,5.274
2023-05-17 17:30:00,5.276,5.285,5.273,5.283
2023-05-17 17:45:00,5.284,5.311,5.283,5.3
2023-05-17 18:00:00,5.3,5.328,5.3,5.32
2023-05-17 18:15:00,5.319,5.339,5.318,5.335
2023-05-17 18:30:00,5.334,5.356,5.333,5.343
2023-05-17 18:45:00,5.343,5.364,5.342,5.343
2023-05-17 19:00:00,5.342,5.399,5.34,5.388
2023-05-17 19:15:00,5.388,5.415,5.388,5.415
2023-05-17 19:30:00,5.415,5.419,5.403,5.415
2023-05-17 19:45:00,5.415,5.425,5.405,5.405
2023-05-17 20:00:00,5.406,5.436,5.406,5.414
2023-05-17 20:15:00,5.414,5.42,5.387,5.39
2023-05-17 20:30:00,5.391,5.411,5.39,5.407
2023-05-17 20:45:00,5.407,5.42,5.404,5.414
2023-05-17 21:00:00,5.412,5.413,5.393,5.402
2023-05-17 21:15:00,5.401,5.418,5.401,5.411
2023-05-17 21:30:00,5.411,5.413,5.405,5.412
2023-05-17 21:45:00,5.411,5.415,5.404,5.412
2023-05-17 22:00:00,5.411,5.417,5.402,5.408
2023-05-17 22:15:00,5.409,5.409,5.393,5.393
2023-05-17 22:30:00,5.393,5.402,5.391,5.394
2023-05-17 22:45:00,5.393,5.402,5.392,5.396
2023-05-17 23:00:00,5.395,5.41,5.395,5.407
2023-05-17 23:15:00,5.407,5.419,5.406,5.417
2023-05-17 23:30:00,5.417,5.417,5.407,5.408
2023-05-17 23:45:00,5.409,5.416,5.408,5.414
2023-05-18 00:00:00,5.414,5.424,5.401,5.401
2023-05-18 00:15:00,5.402,5.418,5.393,5.408
2023-05-18 00:30:00,5.41,5.412,5.395,5.397
2023-05-18 00:45:00,5.397,5.409,5.395,5.4
2023-05-18 01:00:00,5.401,5.416,5.4,5.416
2023-05-18 01:15:00,5.416,5.416,5.408,5.412
2023-05-18 01:30:00,5.41,5.415,5.393,5.393
2023-05-18 01:45:00,5.394,5.4,5.391,5.397
2023-05-18 02:00:00,5.395,5.413,5.395,5.405
2023-05-18 02:15:00,5.406,5.419,5.406,5.419
2023-05-18 02:30:00,5.418,5.429,5.416,5.427
2023-05-18 02:45:00,5.426,5.429,5.416,5.417
2023-05-18 03:00:00,5.418,5.437,5.416,5.437
2023-05-18 03:15:00,5.436,5.457,5.435,5.456
2023-05-18 03:30:00,5.456,5.458,5.445,5.45
2023-05-18 03:45:00,5.449,5.465,5.449,5.457
2023-05-18 04:00:00,5.456,5.464,5.452,5.458
2023-05-18 04:15:00,5.458,5.461,5.453,5.455
2023-05-18 04:30:00,5.455,5.465,5.455,5.461
2023-05-18 04:45:00,5.46,5.461,5.452,5.453
2023-05-18 05:00:00,5.453,5.455,5.44,5.453
2023-05-18 05:15:00,5.453,5.454,5.437,5.441
2023-05-18 05:30:00,5.441,5.455,5.44,5.451
2023-05-18 05:45:00,5.451,5.455,5.428,5.436
2023-05-18 06:00:00,5.436,5.44,5.415,5.417
2023-05-18 06:15:00,5.417,5.424,5.402,5.404
2023-05-18 06:30:00,5.403,5.413,5.402,5.411
2023-05-18 06:45:00,5.412,5.414,5.403,5.411
2023-05-18 07:00:00,5.41,5.425,5.41,5.414
2023-05-18 07:15:00,5.414,5.423,5.407,5.41
2023-05-18 07:30:00,5.409,5.446,5.409,5.445
2023-05-18 07:45:00,5.445,5.448,5.434,5.435
