datetime,open,high,low,close
2023-05-16 15:00:00,6.628,6.647,6.627,6.632
2023-05-16 15:15:00,6.632,6.652,6.631,6.648
2023-05-16 15:30:00,6.649,6.652,6.638,6.639
2023-05-16 15:45:00,6.64,6.657,6.638,6.65
2023-05-16 16:00:00,6.651,6.67,6.649,6.666
2023-05-16 16:15:00,6.667,6.668,6.644,6.644
2023-05-16 16:30:00,6.643,6.673,6.643,6.67
2023-05-16 16:45:00,6.671,6.687,6.654,6.679
2023-05-16 17:00:00,6.68,6.689,6.658,6.658
2023-05-16 17:15:00,6.659,6.661,6.646,6.655
2023-05-16 17:30:00,6.655,6.678,6.653,6.676
2023-05-16 17:45:00,6.676,6.677,6.657,6.671
2023-05-16 18:00:00,6.669,6.682,6.653,6.654
2023-05-16 18:15:00,6.654,6.654,6.643,6.649
2023-05-16 18:30:00,6.649,6.659,6.649,6.652
2023-05-16 18:45:00,6.652,6.666,6.651,6.665
2023-05-16 19:00:00,6.665,6.672,6.658,6.671
2023-05-16 19:15:00,6.671,6.676,6.665,6.665
2023-05-16 19:30:00,6.664,6.671,6.648,6.649
2023-05-16 19:45:00,6.648,6.649,6.617,6.618
2023-05-16 20:00:00,6.618,6.624,6.598,6.622
2023-05-16 20:15:00,6.623,6.632,6.623,6.632
2023-05-16 20:30:00,6.632,6.646,6.629,6.642
2023-05-16 20:45:00,6.642,6.647,6.632,6.632
2023-05-16 21:00:00,6.633,6.649,6.629,6.648
2023-05-16 21:15:00,6.649,6.661,6.648,6.66
2023-05-16 21:30:00,6.66,6.671,6.65,6.671
2023-05-16 21:45:00,6.67,6.673,6.662,6.662
2023-05-16 22:00:00,6.663,6.672,6.662,6.67
2023-05-16 22:15:00,6.671,6.671,6.654,6.655
2023-05-16 22:30:00,6.654,6.66,6.644,6.644
2023-05-16 22:45:00,6.645,6.651,6.644,6.649
2023-05-16 23:00:00,6.647,6.651,6.624,6.633
2023-05-16 23:15:00,6.634,6.657,6.634,6.649
2023-05-16 23:30:00,6.649,6.668,6.647,6.659
2023-05-16 23:45:00,6.659,6.667,6.658,6.661
2023-05-17 00:00:00,6.661,6.668,6.641,6.657
2023-05-17 00:15:00,6.656,6.658,6.628,6.631
2023-05-17 00:30:00,6.631,6.66,6.621,6.639
2023-05-17 00:45:00,6.638,6.663,6.634,6.66
2023-05-17 01:00:00,6.661,6.685,6.66,6.674
2023-05-17 01:15:00,6.674,6.693,6.673,6.693
2023-05-17 01:30:00,6.693,6.733,6.691,6.722
2023-05-17 01:45:00,6.723,6.725,6.713,6.718
2023-05-17 02:00:00,6.718,6.724,6.709,6.717
2023-05-17 02:15:00,6.717,6.72,6.694,6.699
2023-05-17 02:30:00,6.697,6.701,6.678,6.685
2023-05-17 02:45:00,6.684,6.69,6.674,6.677
2023-05-17 03:00:00,6.675,6.691,6.674,6.684
2023-05-17 03:15:00,6.683,6.693,6.683,6.686
2023-05-17 03:30:00,6.687,6.698,6.684,6.697
2023-05-17 03:45:00,6.694,6.697,6.686,6.69
2023-05-17 04:00:00,6.69,6.699,6.687,6.698
2023-05-17 04:15:00,6.697,6.713,6.694,6.712
2023-05-17 04:30:00,6.711,6.722,6.709,6.715
2023-05-17 04:45:00,6.715,6.721,6.704,6.705
2023-05-17 05:00:00,6.704,6.705,6.68,6.682
2023-05-17 05:15:00,6.681,6.688,6.675,6.676
2023-05-17 05:30:00,6.675,6.678,6.645,6.65
2023-05-17 05:45:00,6.651,6.651,6.637,6.637
2023-05-17 06:00:00,6.637,6.637,6.61,6.629
2023-05-17 06:15:00,6.63,6.645,6.626,6.639
2023-05-17 06:30:00,6.634,6.646,6.632,6.642
2023-05-17 06:45:00,6.643,6.643,6.628,6.631
2023-05-17 07:00:00,6.631,6.639,6.629,6.639
2023-05-17 07:15:00,6.639,6.639,6.623,6.625
2023-05-17 07:30:00,6.626,6.629,6.609,6.611
2023-05-17 07:45:00,6.611,6.615,6.577,6.588
2023-05-17 08:00:00,6.586,6.589,6.567,6.586
2023-05-17 08:15:00,6.586,6.59,6.578,6.582
2023-05-17 08:30:00,6.583,6.597,6.579,6.595
2023-05-17 08:45:00,6.596,6.597,6.572,6.574
2023-05-17 09:00:00,6.576,6.598,6.568,6.595
2023-05-17 09:15:00,6.595,6.603,6.589,6.599
2023-05-17 09:30:00,6.6,6.611,6.598,6.607
2023-05-17 09:45:00,6.607,6.61,6.603,6.606
2023-05-17 10:00:00,6.605,6.609,6.588,6.595
2023-05-17 10:15:00,6.594,6.612,6.592,6.611
2023-05-17 10:30:00,6.61,6.612,6.603,6.607
2023-05-17 10:45:00,6.606,6.609,6.591,6.603
2023-05-17 11:00:00,6.603,6.606,6.588,6.601
2023-05-17 11:15:00,6.6,6.6,6.558,6.575
2023-05-17 11:30:00,6.576,6.581,6.555,6.556
2023-05-17 11:45:00,6.554,6.572,6.554,6.562
2023-05-17 12:00:00,6.562,6.608,6.558,6.601
2023-05-17 12:15:00,6.6,6.613,6.592,6.598
2023-05-17 12:30:00,6.597,6.605,6.592,6.595
2023-05-17 12:45:00,6.595,6.608,6.594,6.608
2023-05-17 13:00:00,6.607,6.628,6.597,6.628
2023-05-17 13:15:00,6.628,6.631,6.618,6.623
2023-05-17 13:30:00,6.624,6.637,6.622,6.63
2023-05-17 13:45:00,6.631,6.635,6.604,6.608
2023-05-17 14:00:00,6.608,6.613,6.594,6.6
2023-05-17 14:15:00,6.6,6.618,6.6,6.604
2023-05-17 14:30:00,6.604,6.629,6.563,6.623
2023-05-17 14:45:00,6.623,6.636,6.608,6.612
2023-05-17 15:00:00,6.612,6.621,6.601,6.608
2023-05-17 15:15:00,6.609,6.613,6.578,6.599
2023-05-17 15:30:00,6.598,6.611,6.59,6.592
2023-05-17 15:45:00,6.593,6.606,6.589,6.602
2023-05-17 16:00:00,6.601,6.606,6.583,6.585
2023-05-17 16:15:00,6.586,6.599,6.577,6.59
2023-05-17 16:30:00,6.59,6.617,6.589,6.611
2023-05-17 16:45:00,6.615,6.632,6.61,6.624
2023-05-17 17:00:00,6.622,6.642,6.622,6.642
2023-05-17 17:15:00,6.641,6.643,6.631,6.64
2023-05-17 17:30:00,6.639,6.652,6.636,6.651
2023-05-17 17:45:00,6.65,6.694,6.65,6.686
2023-05-17 18:00:00,6.685,6.719,6.685,6.713
2023-05-17 18:15:00,6.714,6.745,6.703,6.742
2023-05-17 18:30:00,6.742,6.762,6.734,6.735
2023-05-17 18:45:00,6.732,6.745,6.725,6.732
2023-05-17 19:00:00,6.731,6.785,6.731,6.771
2023-05-17 19:15:00,6.769,6.791,6.769,6.782
2023-05-17 19:30:00,6.782,6.794,6.78,6.789
2023-05-17 19:45:00,6.788,6.8,6.774,6.776
2023-05-17 20:00:00,6.776,6.802,6.771,6.772
2023-05-17 20:15:00,6.772,6.782,6.735,6.742
2023-05-17 20:30:00,6.742,6.744,6.729,6.744
2023-05-17 20:45:00,6.744,6.747,6.726,6.727
2023-05-17 21:00:00,6.728,6.732,6.715,6.731
2023-05-17 21:15:00,6.731,6.756,6.73,6.748
2023-05-17 21:30:00,6.747,6.753,6.747,6.75
2023-05-17 21:45:00,6.751,6.759,6.748,6.757
2023-05-17 22:00:00,6.756,6.76,6.747,6.757
2023-05-17 22:15:00,6.758,6.758,6.74,6.74
2023-05-17 22:30:00,6.741,6.753,6.734,6.752
2023-05-17 22:45:00,6.752,6.754,6.74,6.742
2023-05-17 23:00:00,6.745,6.757,6.744,6.756
2023-05-17 23:15:00,6.755,6.766,6.755,6.763
2023-05-17 23:30:00,6.763,6.764,6.746,6.753
2023-05-17 23:45:00,6.752,6.755,6.748,6.755
2023-05-18 00:00:00,6.754,6.762,6.741,6.744
2023-05-18 00:15:00,6.744,6.762,6.731,6.749
2023-05-18 00:30:00,6.748,6.758,6.74,6.74
2023-05-18 00:45:00,6.741,6.753,6.735,6.753
2023-05-18 01:00:00,6.754,6.762,6.747,6.75
2023-05-18 01:15:00,6.749,6.752,6.741,6.741
2023-05-18 01:30:00,6.742,6.752,6.733,6.736
2023-05-18 01:45:00,6.737,6.743,6.722,6.736
2023-05-18 02:00:00,6.735,6.746,6.734,6.735
2023-05-18 02:15:00,6.735,6.751,6.732,6.75
2023-05-18 02:30:00,6.751,6.757,6.746,6.756
2023-05-18 02:45:00,6.755,6.76,6.746,6.746
2023-05-18 03:00:00,6.747,6.756,6.746,6.756
2023-05-18 03:15:00,6.756,6.764,6.752,6.756
2023-05-18 03:30:00,6.755,6.757,6.744,6.745
2023-05-18 03:45:00,6.745,6.755,6.745,6.753
2023-05-18 04:00:00,6.752,6.756,6.737,6.742
2023-05-18 04:15:00,6.74,6.743,6.73,6.736
2023-05-18 04:30:00,6.736,6.744,6.735,6.736
2023-05-18 04:45:00,6.736,6.738,6.73,6.733
2023-05-18 05:00:00,6.733,6.735,6.72,6.729
2023-05-18 05:15:00,6.73,6.734,6.717,6.726
2023-05-18 05:30:00,6.727,6.73,6.724,6.729
2023-05-18 05:45:00,6.729,6.73,6.706,6.712
2023-05-18 06:00:00,6.711,6.713,6.694,6.698
2023-05-18 06:15:00,6.696,6.708,6.688,6.695
2023-05-18 06:30:00,6.694,6.706,6.694,6.705
2023-05-18 06:45:00,6.706,6.706,6.686,6.687
2023-05-18 07:00:00,6.687,6.696,6.685,6.689
2023-05-18 07:15:00,6.689,6.709,6.688,6.708
2023-05-18 07:30:00,6.708,6.729,6.707,6.728
2023-05-18 07:45:00,6.729,6.741,6.717,6.729
2023-05-18 08:00:00,6.729,6.735,6.717,6.717
2023-05-18 08:15:00,6.717,6.726,6.714,6.722
2023-05-18 08:30:00,6.722,6.729,6.716,6.724
2023-05-18 08:45:00,6.723,6.731,6.718,6.72
2023-05-18 09:00:00,6.719,6.726,6.712,6.719
2023-05-18 09:15:00,6.719,6.721,6.708,6.71
2023-05-18 09:30:00,6.71,6.714,6.698,6.703
2023-05-18 09:45:00,6.704,6.711,6.7,6.709
2023-05-18 10:00:00,6.709,6.719,6.708,6.713
2023-05-18 10:15:00,6.713,6.721,6.704,6.709
2023-05-18 10:30:00,6.71,6.735,6.708,6.732
2023-05-18 10:45:00,6.732,6.732,6.707,6.707
2023-05-18 11:00:00,6.707,6.709,6.697,6.699
2023-05-18 11:15:00,6.7,6.7,6.69,6.691
2023-05-18 11:30:00,6.69,6.691,6.678,6.681
2023-05-18 11:45:00,6.681,6.693,6.675,6.693
2023-05-18 12:00:00,6.692,6.697,6.67,6.695
2023-05-18 12:15:00,6.695,6.698,6.675,6.675
2023-05-18 12:30:00,6.675,6.679,6.659,6.663
2023-05-18 12:45:00,6.664,6.675,6.66,6.668
2023-05-18 13:00:00,6.667,6.669,6.654,6.665
2023-05-18 13:15:00,6.666,6.683,6.662,6.663
2023-05-18 13:30:00,6.664,6.691,6.664,6.684
2023-05-18 13:45:00,6.685,6.685,6.677,6.681
2023-05-18 14:00:00,6.68,6.683,6.659,6.666
2023-05-18 14:15:00,6.666,6.684,6.665,6.682
2023-05-18 14:30:00,6.683,6.695,6.642,6.642
2023-05-18 14:45:00,6.642,6.673,6.611,6.652
2023-05-18 15:00:00,6.654,6.669,6.645,6.647
2023-05-18 15:15:00,6.648,6.654,6.626,6.63
2023-05-18 15:30:00,6.631,6.642,6.626,6.64
2023-05-18 15:45:00,6.641,6.651,6.632,6.638
2023-05-18 16:00:00,6.638,6.648,6.632,6.639
2023-05-18 16:15:00,6.638,6.644,6.613,6.626
2023-05-18 16:30:00,6.626,6.657,6.625,6.656
2023-05-18 16:45:00,6.657,6.657,6.638,6.64
2023-05-18 17:00:00,6.641,6.646,6.637,6.641
2023-05-18 17:15:00,6.64,6.642,6.627,6.633
2023-05-18 17:30:00,6.632,6.64,6.578,6.598
2023-05-18 17:45:00,6.597,6.599,6.486,6.523
2023-05-18 18:00:00,6.524,6.535,6.487,6.501
2023-05-18 18:15:00,6.502,6.503,6.477,6.491
2023-05-18 18:30:00,6.492,6.492,6.458,6.458
2023-05-18 18:45:00,6.458,6.465,6.43,6.444
2023-05-18 19:00:00,6.443,6.468,6.441,6.454
2023-05-18 19:15:00,6.452,6.464,6.442,6.462
2023-05-18 19:30:00,6.462,6.51,6.461,6.509
2023-05-18 19:45:00,6.51,6.519,6.491,6.493
2023-05-18 20:00:00,6.493,6.494,6.469,6.471
2023-05-18 20:15:00,6.471,6.475,6.46,6.47
2023-05-18 20:30:00,6.47,6.495,6.469,6.495
2023-05-18 20:45:00,6.495,6.495,6.489,6.489
2023-05-18 21:00:00,6.489,6.504,6.489,6.503
2023-05-18 21:15:00,6.505,6.527,6.505,6.523
2023-05-18 21:30:00,6.523,6.56,6.519,6.542
2023-05-18 21:45:00,6.541,6.557,6.541,6.541
2023-05-18 22:00:00,6.542,6.551,6.533,6.548
2023-05-18 22:15:00,6.548,6.548,6.538,6.541
2023-05-18 22:30:00,6.54,6.549,6.539,6.546
2023-05-18 22:45:00,6.546,6.554,6.544,6.55
2023-05-18 23:00:00,6.549,6.55,6.536,6.536
2023-05-18 23:15:00,6.538,6.541,6.536,6.536
2023-05-18 23:30:00,6.536,6.537,6.528,6.534
2023-05-18 23:45:00,6.535,6.539,6.525,6.529
2023-05-19 00:00:00,6.529,6.532,6.513,6.524
2023-05-19 00:15:00,6.525,6.53,6.506,6.507
2023-05-19 00:30:00,6.506,6.523,6.497,6.497
2023-05-19 00:45:00,6.497,6.515,6.483,6.512
2023-05-19 01:00:00,6.512,6.513,6.498,6.503
2023-05-19 01:15:00,6.502,6.504,6.483,6.488
2023-05-19 01:30:00,6.489,6.5,6.486,6.494
2023-05-19 01:45:00,6.495,6.499,6.483,6.496
2023-05-19 02:00:00,6.495,6.501,6.483,6.494
2023-05-19 02:15:00,6.493,6.498,6.488,6.489
2023-05-19 02:30:00,6.488,6.494,6.488,6.491
2023-05-19 02:45:00,6.49,6.496,6.488,6.495
2023-05-19 03:00:00,6.496,6.501,6.487,6.5
2023-05-19 03:15:00,6.499,6.51,6.499,6.509
2023-05-19 03:30:00,6.508,6.518,6.505,6.509
2023-05-19 03:45:00,6.51,6.512,6.503,6.505
2023-05-19 04:00:00,6.503,6.506,6.49,6.491
2023-05-19 04:15:00,6.491,6.494,6.481,6.482
2023-05-19 04:30:00,6.482,6.493,6.479,6.491
2023-05-19 04:45:00,6.492,6.501,6.489,6.499
2023-05-19 05:00:00,6.5,6.503,6.481,6.481
2023-05-19 05:15:00,6.482,6.485,6.476,6.477
2023-05-19 05:30:00,6.477,6.493,6.475,6.493
2023-05-19 05:45:00,6.492,6.502,6.491,6.494
2023-05-19 06:00:00,6.494,6.511,6.493,6.508
2023-05-19 06:15:00,6.509,6.51,6.5,6.509
2023-05-19 06:30:00,6.51,6.521,6.508,6.518
2023-05-19 06:45:00,6.518,6.521,6.514,6.516
2023-05-19 07:00:00,6.516,6.531,6.512,6.531
2023-05-19 07:15:00,6.532,6.532,6.514,6.514
2023-05-19 07:30:00,6.513,6.517,6.506,6.515
2023-05-19 07:45:00,6.515,6.53,6.513,6.529
2023-05-19 08:00:00,6.528,6.529,6.51,6.512
2023-05-19 08:15:00,6.512,6.517,6.511,6.512
2023-05-19 08:30:00,6.511,6.518,6.509,6.51
2023-05-19 08:45:00,6.509,6.513,6.495,6.498
2023-05-19 09:00:00,6.498,6.508,6.496,6.496
2023-05-19 09:15:00,6.496,6.505,6.495,6.505
2023-05-19 09:30:00,6.506,6.515,6.505,6.512
2023-05-19 09:45:00,6.511,6.519,6.511,6.517
2023-05-19 10:00:00,6.52,6.52,6.505,6.509
2023-05-19 10:15:00,6.508,6.512,6.496,6.504
2023-05-19 10:30:00,6.504,6.508,6.496,6.5
2023-05-19 10:45:00,6.501,6.505,6.493,6.494
2023-05-19 11:00:00,6.494,6.505,6.493,6.493
2023-05-19 11:15:00,6.493,6.505,6.492,6.503
2023-05-19 11:30:00,6.504,6.51,6.499,6.501
2023-05-19 11:45:00,6.502,6.512,6.501,6.507
2023-05-19 12:00:00,6.506,6.529,6.506,6.527
2023-05-19 12:15:00,6.526,6.529,6.509,6.51
2023-05-19 12:30:00,6.51,6.515,6.508,6.515
2023-05-19 12:45:00,6.514,6.518,6.509,6.516
2023-05-19 13:00:00,6.517,6.525,6.516,6.518
2023-05-19 13:15:00,6.517,6.521,6.51,6.515
2023-05-19 13:30:00,6.515,6.516,6.506,6.507
2023-05-19 13:45:00,6.507,6.507,6.492,6.498
2023-05-19 14:00:00,6.497,6.498,6.48,6.491
2023-05-19 14:15:00,6.491,6.501,6.487,6.497
2023-05-19 14:30:00,6.497,6.503,6.494,6.496
2023-05-19 14:45:00,6.496,6.503,6.488,6.493
2023-05-19 15:00:00,6.492,6.506,6.473,6.504
2023-05-19 15:15:00,6.506,6.553,6.486,6.488
2023-05-19 15:30:00,6.488,6.516,6.455,6.515
2023-05-19 15:45:00,6.515,6.521,6.497,6.514
2023-05-19 16:00:00,6.512,6.517,6.488,6.501
2023-05-19 16:15:00,6.501,6.518,6.501,6.508
2023-05-19 16:30:00,6.508,6.508,6.482,6.498
2023-05-19 16:45:00,6.5,6.506,6.492,6.495
2023-05-19 17:00:00,6.493,6.5,6.485,6.496
2023-05-19 17:15:00,6.495,6.519,6.495,6.514
2023-05-19 17:30:00,6.513,6.514,6.506,6.513
2023-05-19 17:45:00,6.513,6.529,6.511,6.518
2023-05-19 18:00:00,6.517,6.527,6.515,6.517
2023-05-19 18:15:00,6.516,6.517,6.499,6.499
